isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9780330519021,Room,Emma Donoghue,651.16,English,416,07 Jan 2011,4.07,762696,Contemporary Fiction,Crime,Crime Fiction
9780008115272,We Should All Be Feminists,Chimamanda Ngozi Adichie,633.47,English,64,14 Dec 2015,4.43,230961,Literary Essays,Literary Theory,Society & Social Sciences
9780446310789,To Kill a Mockingbird,Harper Lee,660.75,English,288,05 May 2010,4.27,5170369,Classic Books & Novels,Political & Legal,Political & Legal
9780141313825,The Dinosaur's Diary,Julia Donaldson,630.65,English,112,28 Mar 2002,3.99,189,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9780349139630,The Goldfinch,Donna Tartt,678.54,English,912,19 Jun 2014,3.92,803368,Contemporary Fiction
9781408832332,Throne of Glass,Sarah J. Maas,675.41,English,416,26 Feb 2015,4.19,796034,Fantasy,Fantasy Books,Adventure Books for Kids
9780752265629,The Mindfulness Colouring Book : Anti-stress Art Therapy for Busy People,Emma Farrarons,646.25,English,112,24 Apr 2015,4,412,Art Techniques & Principles,"Creative Therapy (eg Art, Music, Drama)",Coping With Stress
9780753557525,Elon Musk : How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,Ashlee Vance,641.94,English,416,01 Mar 2016,4.21,312781,Biography: General,Biography: Business & Industry,"Biography: Science, Technology & Engineering"
9781840224306,Crime and Punishment : With selected excerpts from the Notebooks for Crime and Punishment,Fyodor Dostoevsky,607.39,English,528,05 May 2000,4.24,729753,Classic Books & Novels,Historical Fiction,Fiction In Translation
9780349142111,The Dry : THE ABSOLUTELY COMPELLING INTERNATIONAL BESTSELLER,Jane Harper,653.02,English,432,01 Jun 2017,4.04,196870,Contemporary Fiction,Crime,Crime Fiction
9780007548699,All the Light We Cannot See,Anthony Doerr,684.06,English,544,07 May 2015,4.32,1252179,Contemporary Fiction,World War 2 Fiction,Historical Fiction
9781473635302,Born A Crime : Stories from a South African Childhood,Trevor Noah,656.99,English,304,21 Sep 2017,4.48,526397,Biography: Arts & Entertainment,Autobiography: Arts & Entertainment,Prose: Non-fiction
9781780723044,The Clever Guts Diet : How to Revolutionise Your Body from the Inside Out,Michael Mosley,656.67,English,288,18 May 2017,3.9,4433,Dietetics & Nutrition,"Biology, Life Sciences",Popular Medicine & Health
9780340896983,One Day,David Nicholls,679.15,English,448,11 Mar 2011,3.8,305962,Contemporary Fiction,Adult & Contemporary Romance,Adult & Contemporary Romance
9781447279808,The 26-Storey Treehouse,Andy Griffiths,615.5,English,352,07 May 2015,4.29,5996,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781846685828,"Being Mortal : Illness, Medicine and What Matters in the End",Atul Gawande,673.01,English,304,02 Jul 2015,4.46,154988,Medical,Public Health & Preventive Medicine,Science: General Issues
9781444910865,Oi Frog!,Kes Gray,637.31,English,32,05 Feb 2015,4.27,2492,Picture Books,Storybooks,Activity Books
9780007371082,Billionaire Boy,David Walliams,648.7,English,288,09 Jun 2011,4.18,13131,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781409150725,Red Queen : Red Queen Book 1,Victoria Aveyard,678.64,English,416,16 Jul 2015,4.04,759002,Contemporary Fiction,Fantasy,Fantasy Books
9780007150342,How to Catch a Star,Oliver Jeffers,659.22,English,32,03 May 2005,4.21,6751,Picture Books,Baby Books,Children's Fiction
9781407109367,Catching Fire,Suzanne Collins,722.47,English,448,07 Sep 2009,4.3,2913423,Contemporary Fiction,Adventure Books for Kids,Sci Fi Books for Kids
9781471116148,The Perks of Being a Wallflower,Stephen Chbosky,654.5,English,240,11 Jan 2013,4.21,1469709,Contemporary Fiction,Children's General Story Books
9780099448822,Norwegian Wood,Haruki Murakami,674.01,English,400,04 Jul 2003,4.03,444566,Contemporary Fiction,Fiction In Translation,English Language: Reading & Writing Skills
9781406372151,The Hate U Give,Angie Thomas,664.47,English,464,06 Apr 2017,4.5,690147,Contemporary Fiction,Crime,Crime Fiction
9780142402498,Pippi Longstocking (Puffin Modern Classics),Astrid Lindgren,626.32,English,160,21 Apr 2005,4.14,183245,Children's Fiction,Classic Books for Children,Children's General Story Books
9781787474413,The Flatshare,Beth O'Leary,679.06,English,432,11 May 2020,4.07,223834,Contemporary Fiction,Romance,Romance Books
9780142410370,Matilda,Roald Dahl,640.29,English,256,16 Aug 2007,4.33,777598,Children's Fiction,Classic Books for Children,Children's General Story Books
9781783962433,Prisoners of Geography : Ten Maps That Tell You Everything You Need To Know About Global Politics,Tim Marshall,686.54,English,320,02 Jun 2016,4.2,62536,Geopolitics,Geography Books,Political Geography
9781510105249,Shadow and Bone: Shadow and Bone : Book 1,Leigh Bardugo,643.34,English,352,28 Jun 2018,3.96,682742,Children's General Story Books,Adventure Books for Kids,Sci Fi Books for Kids
9781407170718,Stick Man,Julia Donaldson,650.92,English,32,26 Nov 2016,4.27,5764,Characters,Storybooks,Rhyming & Wordplay
