isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9781406372151,The Hate U Give,Angie Thomas,667.25,English,464,06 Apr 2017,4.5,681220,Contemporary Fiction,Crime,Crime Fiction
9780142402498,Pippi Longstocking (Puffin Modern Classics),Astrid Lindgren,628.94,English,160,21 Apr 2005,4.14,183113,Children's Fiction,Classic Books for Children,Children's General Story Books
9781787474413,The Flatshare,Beth O'Leary,653.94,English,432,11 May 2020,4.07,222312,Contemporary Fiction,Romance,Romance Books
9780142410370,Matilda,Roald Dahl,643.19,English,256,16 Aug 2007,4.33,777598,Children's Fiction,Classic Books for Children,Children's General Story Books
9781783962433,Prisoners of Geography : Ten Maps That Tell You Everything You Need To Know About Global Politics,Tim Marshall,689.41,English,320,02 Jun 2016,4.2,62536,Geopolitics,Geography Books,Political Geography
9781510105249,Shadow and Bone: Shadow and Bone : Book 1,Leigh Bardugo,646.03,English,352,28 Jun 2018,3.96,679726,Children's General Story Books,Adventure Books for Kids,Sci Fi Books for Kids
9781407170718,Stick Man,Julia Donaldson,653.64,English,32,26 Nov 2016,4.27,5764,Characters,Storybooks,Rhyming & Wordplay
9781471146725,Shoe Dog : A Memoir by the Creator of NIKE,Phil Knight,688.38,English,400,03 May 2018,4.47,210694,Biography: Business & Industry,Autobiography: Business & Industry,Prose: Non-fiction
9781408855669,Harry Potter and the Chamber of Secrets,J.K. Rowling,661.91,English,384,11 Sep 2014,4.43,3210269,Fantasy,Fantasy Books,Children's General Story Books
9781925228601,Gut : the inside story of our body's most under-rated organ,Giulia Enders,690.02,English,288,03 Aug 2016,4.05,39987,Medical,Medicine,Public Health & Preventive Medicine
9781447283072,The Nightingale,Kristin Hannah,621.61,English,464,29 Jul 2015,4.58,907707,Contemporary Fiction,Military Fiction,Historical Fiction
9780007413577,"Oh, The Places You'll Go!",Dr. Seuss,654.31,English,48,01 Jun 2017,4.35,365087,"Assertiveness, Motivation & Self-esteem","Mind, Body, Spirit: Thought & Practice",Storybooks
9780142402511,Looking for Alaska,John Green,686.82,English,272,01 Jan 2007,3.99,1319215,Language Teaching & Learning Material & Coursework,Children's Fiction,Children's General Story Books
9781471154621,November 9,Colleen Hoover,676.42,English,320,11 Nov 2015,4.34,248394,Romance,Romance Books
9780744523232,We're Going on a Bear Hunt,Michael Rosen,661.31,English,40,26 Sep 1995,4.27,44523,Picture Books,Storybooks,Activity Books
9781472223821,Hamnet : WINNER OF THE WOMEN'S PRIZE FOR FICTION 2020 - THE NO. 1 BESTSELLER,Maggie O'Farrell,660.87,English,384,15 Apr 2021,4.27,132119,Contemporary Fiction,Crime,Crime Fiction
